
id,jira_id,summary,module,priority,severity,labels,preconditions,steps,expected_result,test_type,owner,sprint,status
TC-01181,VWO-2757,Verify Split URL supports up to 3 variant URLs (strict CSP),Split URL,P2,Minor,regression|safari|sanity,Split URL Draft,1. Add 3 variants || 2. Save,3 variants saved | Each gets traffic share,Boundary,arjun.kapoor,VWO-25.S08,Active
TC-01182,VWO-5052,Verify traffic split must total 100% across variations (IE-removed),AB Testing,P2,Major,regression|ui,User in /campaigns/ab/new editor,1. Set Variation A=40% || 2. Set Variation B=40% || 3. Click Save,Validation error 'Splits must equal 100%' | Save blocked,Negative,riya.sharma,VWO-25.S50,Active
TC-01183,VWO-1511,Verify session expires after 8h idle (role: Viewer),Auth,P2,Major,e2e|mobile|security,Logged in 8h+ idle,1. Make request,Redirect to login,Security,kavya.iyer,VWO-25.S06,Active
TC-01184,VWO-5099,Verify creating an audience segment via Segment Builder (role: Admin),Segmentation,P1,Critical,dataloss|regression|sanity,User logged in,1. Navigate /segments/new || 2. Add condition || 3. Save,Segment saved | Available in audience picker,Functional,neha.khanna,VWO-25.S33,Active
TC-01185,VWO-5000,Verify audience targeting by 'hi-IN' locale on A/B test (role: Editor),AB Testing,P3,Trivial,chrome|performance|regression|sanity,Audience builder open,1. Add condition 'Browser language equals fr-FR' || 2. Save audience || 3. Apply to A/B test,Only fr-FR visitors enter the test | Bucket logs show locale match,Functional,arjun.kapoor,VWO-25.S24,Active
TC-01186,VWO-2648,Verify editing variation copy in A/B campaign #2940 (EU DC),AB Testing,P0,Trivial,gdpr|performance|regression|security|smoke,A/B campaign 2940 exists in Draft | User has Editor role,1. Open /campaigns/ab/2940/editor || 2. Switch to Variation 2 || 3. Change H1 text to 'Buy Now' || 4. Click Save,Variation 2 saves with updated copy | Audit log entry created,Functional,riya.sharma,VWO-25.S46,Active
TC-01187,VWO-2179,Verify real-time visitor counter updates every 30s (US DC),Reports,P1,Major,regression|sanity,Campaign running,1. Open report dashboard,Counter ticks within 30s,Functional,dev.ranganathan,VWO-25.S40,Active
TC-01188,VWO-3091,Verify deeplink to A/B campaign preview on iOS (Asia DC),Mobile,P1,Trivial,integration|mobile|ui,Deep link config,1. Open vwo://campaign/{id},Campaign preview opens,Functional,aditya.rao,VWO-25.S08,Active
TC-01189,VWO-4544,Verify Declare Winner promotes Variation B traffic to 100% (smoke),AB Testing,P2,Major,e2e|firefox|regression|ui,Campaign 7798 has confidence > 95%,1. Open /campaigns/7798/report || 2. Click Declare Winner > Variation B,Variation B traffic = 100% | Banner: 'Winner declared',Functional,promode.dutta,VWO-25.S47,Active
TC-01190,VWO-5816,Verify retry queue when WordPress 5xx (regression),Integrations,P1,Major,e2e|regression|safari,WordPress returns 503,1. Trigger event,Event queued and retried within 30m,Integration,riya.sharma,VWO-25.S05,Active
TC-01191,VWO-5097,Verify SmartCode version warning when outdated snippet detected (p0),SmartCode,P2,Minor,api|dataloss|integration|regression,Old snippet on site,1. Validate,"Banner 'Outdated, update snippet'",Functional,arjun.kapoor,VWO-25.S36,Active
TC-01192,VWO-4170,Verify CAPTCHA after 3 failed logins (p1),Auth,P2,Minor,gdpr|i18n|regression|security|ui,3 failures,1. Try again,CAPTCHA shown,Security,aditya.rao,VWO-25.S08,Active
TC-01193,VWO-3074,Verify Heatmap auto-segments by tablet device on '/signup' (critical-path),Heatmaps,P3,Critical,billing|chrome|integration|regression|ui,Heatmap data ready,1. Switch device tab to Tablet,Tablet-specific overlay shown,Functional,anika.bose,VWO-25.S39,Draft
TC-01194,VWO-4872,Verify cursor pagination on /api/v1/campaigns (edge case),API,P1,Major,api|regression,50+ campaigns,1. GET with after=cursor,Returns next page,API,aditya.rao,VWO-25.S27,Active
TC-01195,VWO-3570,Verify page-visit goal report shows per-variation breakdown (boundary),Goals,P0,Minor,regression,Goal hit by 1k visitors,1. Open report,Per-variation conversion shown,Functional,vikram.singh,VWO-25.S30,Active
TC-01196,VWO-4474,Verify pause and resume on session recording (negative),Session Recordings,P2,Minor,accessibility|gdpr|regression|security|ui,Recording playing,1. Click Pause || 2. Click Play,Playback pauses then resumes from same frame,Functional,arjun.kapoor,VWO-25.S14,Active
TC-01197,VWO-5774,Verify WYSIWYG drag-resize on hero image variation (positive),AB Testing,P0,Minor,api|edge|mobile|ui,Editor in WYSIWYG mode,1. Select hero image || 2. Drag to 80% width || 3. Save,Image saves at 80% width | CSS rule emitted,UI,vikram.singh,VWO-25.S05,Active
TC-01198,VWO-3879,Verify editing variation copy in A/B campaign #4237 (low-bandwidth),AB Testing,P2,Critical,billing|firefox|regression,A/B campaign 4237 exists in Draft | User has Editor role,1. Open /campaigns/ab/4237/editor || 2. Switch to Variation 2 || 3. Change H1 text to 'Buy Now' || 4. Click Save,Variation 2 saves with updated copy | Audit log entry created,Functional,ishaan.mehta,VWO-25.S37,Active
TC-01199,VWO-4866,Verify message when target site blocks iframe (X-Frame-Options) (low-bandwidth),Editor,P0,Major,regression,Site sets DENY,1. Open editor on it,Helpful message + extension fallback link,Negative,sara.patel,VWO-25.S39,Active
TC-01200,VWO-2581,Verify renaming team updates listing and URL slug (high-load),Admin,P0,Critical,accessibility|billing|firefox|regression,Team exists,"1. Edit name, save",Slug updated; old slug 404,Functional,sara.patel,VWO-25.S31,Draft
TC-01201,VWO-1861,Verify editing element in MVT section saves to that variant only (rtl locale),MVT,P1,Minor,billing|gdpr|regression|sanity,MVT editor open,1. Switch to Section A Variant 2 || 2. Change button color || 3. Save,Only A2 has the new color | Other variants untouched,Functional,vikram.singh,VWO-25.S15,Draft
TC-01202,VWO-4305,Verify changing font family on heading saves correct CSS (fr-FR),Editor,P3,Critical,api|regression|sanity|ui,Editor loaded,"1. Pick H2, change font || 2. Save",CSS rule emitted,Functional,kavya.iyer,VWO-25.S22,Active
TC-01203,VWO-5610,Verify Heatmap on React SPA captures clicks across route changes (en-GB),Heatmaps,P2,Minor,dataloss|edge|regression|safari|ui,SPA with history pushState,1. Create Heatmap,Clicks captured per route,Functional,dev.ranganathan,VWO-25.S24,Active
TC-01204,VWO-4295,Verify gradual rollout 10->100% in Java SDK (fr-FR),FullStack,P2,Trivial,accessibility|mobile|regression|security,Flag at 10%,1. Update to 100% then sample,All users true,Functional,anika.bose,VWO-25.S52,Active
TC-01205,VWO-3422,Verify click goal CSS selector '#cta-buy' captures clicks (de-DE),Goals,P2,Minor,api|e2e|edge|regression|smoke,Campaign Draft,1. Add click goal selector=#cta-buy || 2. Save || 3. Trigger click,Click counted as conversion,Functional,neha.khanna,VWO-25.S28,Archived
TC-01206,VWO-3778,Verify goals list shows all goals for campaign #8234 (ja-JP),Goals,P0,Critical,accessibility|chrome|integration|ui,Campaign 8234 has 5 goals,1. Open /campaigns/8234/goals,All 5 goals listed | Type icons visible,UI,aditya.rao,VWO-25.S08,Active
TC-01207,VWO-1205,Verify survey supports up to 20 questions (hi-IN),Surveys,P2,Major,firefox|mobile|regression|safari,User on /surveys/new,1. Add 20 questions || 2. Save,Saved with 20 questions | 21st rejected,Boundary,ishaan.mehta,VWO-25.S07,Active
TC-01208,VWO-2440,Verify drop-off field highlighted in Forms report (Chrome),Forms,P3,Major,accessibility|e2e|regression|security,Forms data ready,1. Open report,Highest drop field flagged,Functional,neha.khanna,VWO-25.S33,Active
TC-01209,VWO-5945,Verify API token auth via Bearer header on /api/v1/me (Chrome),API,P1,Critical,api|e2e|firefox|security,API token issued,1. GET /api/v1/me with Bearer token,200 OK with user info,API,sara.patel,VWO-25.S44,Active
TC-01210,VWO-5720,Verify Heatmap auto-segments by tablet device on '/' (Firefox),Heatmaps,P2,Major,api|integration|regression,Heatmap data ready,1. Switch device tab to Tablet,Tablet-specific overlay shown,Functional,anika.bose,VWO-25.S25,Active
TC-01211,VWO-1964,Verify GET /api/v1/campaigns returns paginated list (Safari),API,P3,Minor,api|edge|i18n|integration,Account has 50+ campaigns,1. GET /api/v1/campaigns?limit=20,20 items + next cursor,API,ishaan.mehta,VWO-25.S47,Draft
TC-01212,VWO-3991,Verify device targeting limits A/B test to iPad only (Edge),AB Testing,P3,Major,regression|security|smoke,A/B campaign Draft,1. Open Targeting > Device || 2. Select iPhone 15 || 3. Save,Bucket only when device matches | Other devices skip the test,Functional,sara.patel,VWO-25.S38,Draft
TC-01213,VWO-3058,Verify SSO email-domain detection redirects to IdP (mobile-web),Auth,P1,Major,dataloss|security,SSO enforced for domain,1. Login with corp email,Redirect to IdP login,Security,promode.dutta,VWO-25.S23,Active
TC-01214,VWO-1561,Verify duplicating page-visit goal copies all settings (tablet),Goals,P2,Minor,chrome|i18n|regression|safari,Campaign has page-visit goal,1. Click duplicate,Copy created with same config,Functional,vikram.singh,VWO-25.S39,Archived
TC-01215,VWO-1069,Verify editing variation copy in A/B campaign #7741 (slow 3G),AB Testing,P2,Major,mobile|regression,A/B campaign 7741 exists in Draft | User has Editor role,1. Open /campaigns/ab/7741/editor || 2. Switch to Variation 2 || 3. Change H1 text to 'Buy Now' || 4. Click Save,Variation 2 saves with updated copy | Audit log entry created,Functional,riya.sharma,VWO-25.S38,Active
TC-01216,VWO-1832,Verify integration event history visible for WordPress (offline-online),Integrations,P2,Critical,e2e|performance|regression,WordPress sent 100+ events,1. Open History tab,List shows timestamps + status,Functional,ishaan.mehta,VWO-25.S26,Active
TC-01217,VWO-1649,Verify campaign #3953 report loads with all goal cards (re-entry),Reports,P2,Critical,regression|sanity,Campaign 3953 ran 24h,1. Open /campaigns/3953/report,Goal cards render | Loading skeleton transitions to data,Functional,aditya.rao,VWO-25.S07,Active
TC-01218,VWO-4855,Verify mobile preview iframe respects tablet viewport (after refresh),AB Testing,P2,Critical,accessibility|billing|chrome|mobile,A/B editor open,1. Switch preview to mobile || 2. Choose desktop,Iframe resizes to viewport dims | Touch events emulated,UI,vikram.singh,VWO-25.S08,Draft
TC-01219,VWO-5961,Verify Code Editor injects custom JS into Variation A (clean install),AB Testing,P3,Critical,billing|gdpr|regression|ui,A/B test in editor,"1. Open Code Editor for Variation A || 2. Paste 'document.title=""Test""' || 3. Save",JS saved | Preview shows updated tab title,Functional,arjun.kapoor,VWO-25.S48,Active
TC-01220,VWO-1430,Verify equal traffic split across active MVT combinations (after upgrade),MVT,P2,Major,regression|sanity,MVT 2x2 running,1. Send 4000 visits,Each combo gets ~1000 ±5%,Functional,sara.patel,VWO-25.S35,Active
TC-01221,VWO-3509,Verify Forms creation fails when no form selector chosen (cold start),Forms,P2,Trivial,accessibility|regression,User on /forms/new,1. Skip selector || 2. Save,Error 'Form element required',Negative,ishaan.mehta,VWO-25.S52,Active
TC-01222,VWO-1482,Verify share-link for campaign report (read-only) (warm cache),Reports,P3,Blocker,billing|gdpr|performance|security,Report ready,1. Click Share > Public link,Anonymous viewer can read but not edit,Security,promode.dutta,VWO-25.S03,Active
TC-01223,VWO-5431,Verify outbound webhook for goal conversion to Amplitude (cookieless),Integrations,P3,Critical,api|e2e|ui,Webhook URL set for Amplitude,1. Trigger goal,POST received within 10s with JSON payload,Integration,sara.patel,VWO-25.S37,Draft
TC-01224,VWO-3079,Verify survey save blocked without any question (third-party blocked),Surveys,P1,Major,gdpr|regression|smoke,User on /surveys/new,1. Skip questions || 2. Save,Error 'At least one question required',Negative,kavya.iyer,VWO-25.S01,Archived
TC-01225,VWO-1523,Verify revenue goal currency switch USD->INR (strict CSP),Goals,P0,Trivial,billing|mobile|regression|ui,Revenue goal exists,1. Edit goal || 2. Change currency to INR || 3. Save,Goal stored with INR | Reports re-aggregate,Functional,dev.ranganathan,VWO-25.S36,Active
TC-01226,VWO-5828,Verify Winner per Section view in MVT report (IE-removed),MVT,P1,Minor,accessibility|regression,MVT 3084 report ready,1. Open /campaigns/3084/report?view=section,Each section shows winning variant,Functional,riya.sharma,VWO-25.S11,Active
TC-01227,VWO-5570,Verify deprovisioning user via SCIM disables VWO account (role: Viewer),SSO,P2,Major,gdpr|i18n|security,User exists from Azure AD,1. Send SCIM DELETE,"VWO user disabled, sessions revoked",Security,sara.patel,VWO-25.S04,Active
TC-01228,VWO-3280,Verify saving tax/GSTIN updates billing address block (role: Admin),Billing,P2,Major,billing|edge|integration|performance,Billing tab open,1. Edit GSTIN '29ABCDE1234F2Z5' || 2. Save,GSTIN appears on invoice,Functional,arjun.kapoor,VWO-25.S36,Active
TC-01229,VWO-2521,Verify changing font family on heading saves correct CSS (role: Editor),Editor,P2,Major,edge|i18n|integration|regression,Editor loaded,"1. Pick H2, change font || 2. Save",CSS rule emitted,Functional,neha.khanna,VWO-25.S01,Active
TC-01230,VWO-4816,Verify drop-off field highlighted in Forms report (EU DC),Forms,P0,Blocker,regression|security|smoke,Forms data ready,1. Open report,Highest drop field flagged,Functional,riya.sharma,VWO-25.S37,Active
TC-01231,VWO-4703,Verify renaming funnel updates breadcrumb and listing (Asia DC),Funnels,P2,Minor,chrome|ui,Funnel exists,"1. Open settings, rename, save",New name appears in breadcrumb and list,Functional,ishaan.mehta,VWO-25.S40,Active
TC-01232,VWO-1249,Verify Browser=Brave condition saved (Asia DC),Segmentation,P2,Critical,regression|security,Segment Draft,1. Add browser || 2. Save,Saved,Functional,ishaan.mehta,VWO-25.S16,Active
TC-01233,VWO-3448,Verify account lock after 5 failed attempts (smoke),Auth,P1,Critical,edge|security|smoke|ui,Active user,1. Try wrong password 5 times,Account locked for 15min | Lock email sent,Security,vikram.singh,VWO-25.S42,Active
TC-01234,VWO-4854,Verify click goal CSS selector '#cta-buy' captures clicks (regression),Goals,P1,Minor,gdpr|mobile|performance|regression,Campaign Draft,1. Add click goal selector=#cta-buy || 2. Save || 3. Trigger click,Click counted as conversion,Functional,ishaan.mehta,VWO-25.S26,Draft
TC-01235,VWO-1787,Verify Device=mobile condition in segment (p0),Segmentation,P3,Major,billing|mobile,Segment Draft,1. Add device=mobile || 2. Save,Saved correctly,Functional,sara.patel,VWO-25.S09,Active
TC-01236,VWO-5560,Verify launching paused A/B campaign 9820 resumes traffic (p1),AB Testing,P3,Blocker,api|smoke|ui,Campaign 9820 status = Paused,1. Open /campaigns/9820/overview || 2. Click 'Resume' || 3. Confirm in modal,Status switches to Running | Traffic counter increments within 60s,Functional,dev.ranganathan,VWO-25.S26,Active
TC-01237,VWO-2733,Verify scroll-50% trigger on CSAT survey (critical-path),Surveys,P3,Major,chrome|regression|sanity|security,Survey Draft,1. Trigger=Scroll 50% || 2. Launch,Survey shows after 50% scroll,Functional,aditya.rao,VWO-25.S20,Active
TC-01238,VWO-1490,Verify selector falls back to nth-of-type when id missing (edge case),Editor,P2,Minor,api|regression|safari|security|ui,Element has no id,1. Pick element,Selector uses nth-of-type,Functional,dev.ranganathan,VWO-25.S14,Active
TC-01239,VWO-3680,Verify GET /api/v1/campaigns/{id}/report returns goal stats (boundary),API,P2,Minor,api|chrome|i18n|integration,Campaign ran 24h,1. GET report,200 with conversions per variation,API,vikram.singh,VWO-25.S15,Active
TC-01240,VWO-1071,Verify replacing image via Image Library upload (negative),Editor,P2,Trivial,e2e|mobile|regression|ui,Editor loaded,"1. Pick img, upload new",Src updated | Library entry added,Functional,promode.dutta,VWO-25.S40,Active
TC-01241,VWO-3483,Verify MVT preview lets QA pick any combination (positive),MVT,P1,Minor,chrome|smoke,MVT Draft,1. Click Preview || 2. Pick combination 'A2-B1-C2',Preview URL renders that combination,Functional,neha.khanna,VWO-25.S21,Active
TC-01242,VWO-5586,Verify pause and resume on session recording (low-bandwidth),Session Recordings,P2,Critical,regression|safari,Recording playing,1. Click Pause || 2. Click Play,Playback pauses then resumes from same frame,Functional,vikram.singh,VWO-25.S23,Active
TC-01243,VWO-3647,Verify element selector picks H1 with stable CSS path (high-load),Editor,P2,Blocker,api|chrome|e2e|gdpr|regression,Editor loaded,1. Click H1,Selector shown e.g. main > h1,Functional,aditya.rao,VWO-25.S38,Draft
TC-01244,VWO-5356,Verify deep link from VWO report to Slack dashboard (high-load),Integrations,P2,Minor,chrome|safari|ui,Slack connected,1. Open report > 'View in Slack',Opens vendor dashboard in new tab,UI,riya.sharma,VWO-25.S33,Active
TC-01245,VWO-2483,Verify Split URL warns on unreachable variant URL (rtl locale),Split URL,P1,Critical,gdpr|i18n|integration|regression|smoke,Split URL Draft,1. Set variant '/does-not-exist-404' || 2. Click Validate,Warning 'Variant URL returned 404' | Launch allowed with confirmation,Negative,promode.dutta,VWO-25.S20,Draft
TC-01246,VWO-1743,Verify referrer-based Personalization for traffic from google.com (en-US),Personalization,P3,Critical,billing|gdpr|regression,Personalize Draft,1. Audience referrer contains 'google.com' || 2. Save,Google traffic targeted,Functional,ishaan.mehta,VWO-25.S49,Active
TC-01247,VWO-1296,Verify comparing two segments on the same funnel (en-GB),Funnels,P1,Minor,billing|chrome|firefox|i18n|regression,Funnel report ready,1. Add segment Desktop alongside Mobile,Side-by-side comparison view,Functional,arjun.kapoor,VWO-25.S22,Draft
TC-01248,VWO-4307,Verify renaming funnel updates breadcrumb and listing (fr-FR),Funnels,P2,Minor,billing|security|ui,Funnel exists,"1. Open settings, rename, save",New name appears in breadcrumb and list,Functional,vikram.singh,VWO-25.S48,Active
TC-01249,VWO-1504,Verify permanent delete of A/B campaign requires typed confirmation (ja-JP),AB Testing,P1,Major,edge|regression,Campaign 3757 archived,1. Open /campaigns/3757 || 2. Click Delete Forever || 3. Type campaign name || 4. Click Delete,Campaign removed from list | GET /campaigns/{cid} returns 404,Negative,arjun.kapoor,VWO-25.S12,Active
TC-01250,VWO-2680,Verify A/B test saves as Draft when launch is skipped (hi-IN),AB Testing,P1,Major,accessibility|e2e|regression|security|smoke,User on /campaigns/ab/new,1. Fill name 'Hero CTA Draft' || 2. Add 2 variations || 3. Click 'Save as Draft',Campaign appears under Drafts tab | Status badge = 'Draft',Functional,promode.dutta,VWO-25.S39,Active
TC-01251,VWO-4765,Verify page-visit goal regex '/thank-you.*' matches (pt-BR),Goals,P3,Blocker,integration|regression|sanity,Campaign Draft,1. Add page-visit goal regex || 2. Save,/thank-you?ref=x triggers conversion,Functional,sara.patel,VWO-25.S13,Active
TC-01252,VWO-5870,Verify duplicating Personalization carries audience and changes (pt-BR),Personalization,P0,Minor,gdpr|regression,Personalization exists,1. Duplicate,Copy has same audience + changes,Functional,promode.dutta,VWO-25.S48,Active
TC-01253,VWO-2430,Verify engagement goal triggers at 60s on page (Chrome),Goals,P2,Major,accessibility|gdpr|mobile|regression|sanity,Campaign Draft,1. Add engagement goal time=60s || 2. Save,Conversion recorded after 60s,Functional,arjun.kapoor,VWO-25.S20,Active
TC-01254,VWO-2664,Verify video-play goal triggers on YouTube embed play (Firefox),Goals,P3,Trivial,regression|safari,YouTube iframe on page,1. Add video goal || 2. Play video,Conversion recorded,Functional,aditya.rao,VWO-25.S43,Active
TC-01255,VWO-4084,Verify adding a step to existing funnel updates report (Edge),Funnels,P3,Minor,accessibility|api|firefox|performance|regression,Funnel exists with 3 steps,1. Add step '/checkout/confirm' || 2. Save,4 steps shown | Drop-off recalculated,Functional,promode.dutta,VWO-25.S31,Active
TC-01256,VWO-2092,Verify Preview mode renders Variation B without affecting visitors (Edge),AB Testing,P2,Major,performance|smoke,A/B test in Draft,1. Click Preview || 2. Choose Variation B || 3. Open generated preview URL,Variation B rendered with debug bar | No bucket entry recorded,Functional,ishaan.mehta,VWO-25.S44,Active
TC-01257,VWO-3761,Verify launching paused A/B campaign 5522 resumes traffic (tablet),AB Testing,P2,Major,i18n|smoke,Campaign 5522 status = Paused,1. Open /campaigns/5522/overview || 2. Click 'Resume' || 3. Confirm in modal,Status switches to Running | Traffic counter increments within 60s,Functional,sara.patel,VWO-25.S49,Active
TC-01258,VWO-3291,Verify event-based funnel step tracks 'Add to Cart' (tablet),Funnels,P1,Major,dataloss|integration|regression|safari|sanity,Custom event registered,1. Add event step 'AddToCart' || 2. Save,Event step counted in funnel,Functional,promode.dutta,VWO-25.S18,Active
TC-01259,VWO-2677,Verify click goal report shows per-variation breakdown (slow 3G),Goals,P2,Trivial,firefox|regression|security,Goal hit by 1k visitors,1. Open report,Per-variation conversion shown,Functional,aditya.rao,VWO-25.S40,Active
TC-01260,VWO-1520,Verify campaign #3994 report loads with all goal cards (offline-online),Reports,P3,Major,integration|regression|sanity|security,Campaign 3994 ran 24h,1. Open /campaigns/3994/report,Goal cards render | Loading skeleton transitions to data,Functional,neha.khanna,VWO-25.S18,Active
TC-01261,VWO-5491,Verify mobile-only Personalization on banner image (re-entry),Personalization,P1,Minor,e2e|mobile|regression|security,Personalize Draft,1. Audience Device=mobile || 2. Replace hero image || 3. Launch,Mobile visitors see new image | Desktop unchanged,Functional,kavya.iyer,VWO-25.S25,Active
TC-01262,VWO-4117,Verify Personalization report shows engagement uplift (after refresh),Personalization,P1,Major,billing|i18n|regression,Personalize ran 7d,1. Open /campaigns/personalize/{id}/report,Engagement % delta vs baseline shown,Functional,sara.patel,VWO-25.S49,Active
TC-01263,VWO-3400,Verify side-by-side variation comparison view in report (clean install),Reports,P2,Critical,billing|regression|sanity,Report ready,1. Switch to Compare view,Variations listed in columns with deltas,Functional,harsh.gupta,VWO-25.S46,Active
TC-01264,VWO-5418,"Verify user context (id, attributes) used for bucketing in Ruby (after upgrade)",FullStack,P1,Minor,accessibility|regression|sanity|security,Context with attribs,1. Bucket user,Bucket respects attribute rules,Functional,vikram.singh,VWO-25.S31,Active
TC-01265,VWO-2954,Verify event-based funnel step tracks 'Add to Cart' (warm cache),Funnels,P2,Blocker,billing|integration|regression,Custom event registered,1. Add event step 'AddToCart' || 2. Save,Event step counted in funnel,Functional,dev.ranganathan,VWO-25.S50,Active
TC-01266,VWO-1218,Verify unique conversions count distinct visitors only (warm cache),Goals,P2,Major,firefox|regression,Same visitor triggers goal twice,1. Check unique conversions metric,Counts as 1 unique conversion,Functional,anika.bose,VWO-25.S27,Active
TC-01267,VWO-3430,Verify share link for a recording requires auth (third-party blocked),Session Recordings,P2,Trivial,accessibility|security,Recording open,1. Click Share || 2. Open link in incognito,Login prompt shown | Cannot view without auth,Security,ishaan.mehta,VWO-25.S30,Active
TC-01268,VWO-2813,Verify bookmark on recording moves it to Bookmarked tab (third-party blocked),Session Recordings,P2,Major,api|chrome|e2e|i18n|regression,Recording open,1. Click Bookmark,Recording appears under Bookmarked,Functional,anika.bose,VWO-25.S23,Active
TC-01269,VWO-1866,Verify adding a comment at 0:42 in a recording (strict CSP),Session Recordings,P3,Minor,dataloss|edge|regression|sanity,Recording playing,1. Pause at 0:42 || 2. Add comment 'odd click',Comment pinned at 0:42 | Visible in timeline,Functional,riya.sharma,VWO-25.S24,Active
TC-01270,VWO-2287,Verify required-field validation when creating revenue goal (IE-removed),Goals,P2,Trivial,e2e|regression|safari|smoke,Add Goal modal open,"1. Pick type, leave selector blank || 2. Save",Inline error | Save blocked,Negative,riya.sharma,VWO-25.S01,Active
TC-01271,VWO-4904,Verify click goal CSS selector '#cta-buy' captures clicks (role: Viewer),Goals,P3,Major,billing|mobile|regression|smoke,Campaign Draft,1. Add click goal selector=#cta-buy || 2. Save || 3. Trigger click,Click counted as conversion,Functional,sara.patel,VWO-25.S03,Active
TC-01272,VWO-5172,Verify archiving completed A/B campaign hides it from Active list (role: Admin),AB Testing,P2,Blocker,billing|regression,Campaign 9342 status = Completed,1. Open /campaigns/9342/overview || 2. Click overflow > Archive || 3. Confirm,Campaign moved to /campaigns?status=archived | Removed from Active list,Functional,harsh.gupta,VWO-25.S51,Active
TC-01273,VWO-4048,Verify recording playback uses < 200MB memory for 10-min session (role: Editor),Session Recordings,P1,Minor,dataloss|performance|regression|sanity,10-min recording,1. Open Devtools memory || 2. Play to end,Memory stays below 200MB,Performance,aditya.rao,VWO-25.S37,Active
TC-01274,VWO-4811,Verify funnel save blocked when only 1 step provided (EU DC),Funnels,P2,Major,accessibility|regression,User on /funnels/new,1. Add 1 step || 2. Save,Error 'At least 2 steps required',Negative,vikram.singh,VWO-25.S44,Active
TC-01275,VWO-3510,Verify Split URL warns on unreachable variant URL (US DC),Split URL,P1,Major,accessibility|dataloss|regression|safari,Split URL Draft,1. Set variant '/does-not-exist-404' || 2. Click Validate,Warning 'Variant URL returned 404' | Launch allowed with confirmation,Negative,arjun.kapoor,VWO-25.S45,Active
TC-01276,VWO-2228,Verify rotating account key forces snippet reinstall (Asia DC),SmartCode,P3,Minor,chrome|i18n|sanity|security|smoke,Active key,1. Click Rotate || 2. Confirm,New key issued; old stops within 24h,Security,arjun.kapoor,VWO-25.S08,Active
TC-01277,VWO-1487,Verify previewing Split URL variant opens variant page (smoke),Split URL,P2,Minor,sanity|smoke,Split URL test in editor,1. Click Preview > Variant 1,Variant URL opens in new tab with QA banner,Functional,sara.patel,VWO-25.S14,Active
TC-01278,VWO-4911,Verify transferring account ownership requires confirmation (regression),Admin,P2,Trivial,gdpr|security,Owner role,1. Open ownership transfer || 2. Pick new owner || 3. Confirm,New user becomes Owner; old becomes Admin,Functional,promode.dutta,VWO-25.S31,Draft
TC-01279,VWO-2016,Verify admin IP allowlist blocks logins from outside (p0),Admin,P3,Critical,api|billing|i18n|security|ui,Allowlist set,1. Login from IP not on list,Login blocked with message,Security,kavya.iyer,VWO-25.S11,Archived
TC-01280,VWO-1515,Verify Firefox extension install flow (p1),Editor,P2,Major,accessibility|chrome|firefox|regression|security,Chrome browser fresh,1. Install from store || 2. Pin,Extension icon in toolbar,Functional,promode.dutta,VWO-25.S35,Draft
TC-01281,VWO-5952,Verify undo/redo within editor restores prior states (critical-path),Editor,P1,Minor,mobile|regression,Edits made,"1. Click Undo, Redo","Previous state restored, then redone",Functional,anika.bose,VWO-25.S16,Active
TC-01282,VWO-2188,Verify URL fragment (#section) preserved through Split URL (edge case),Split URL,P2,Minor,e2e|gdpr|i18n|regression,Split URL test running,1. Open /pricing#enterprise,Variant URL ends with #enterprise,Functional,riya.sharma,VWO-25.S19,Active
TC-01283,VWO-2068,Verify outbound webhook for goal conversion to Google Analytics (boundary),Integrations,P2,Critical,api|edge|regression,Webhook URL set for Google Analytics,1. Trigger goal,POST received within 10s with JSON payload,Integration,kavya.iyer,VWO-25.S29,Active
TC-01284,VWO-1247,Verify survey save blocked without any question (negative),Surveys,P2,Trivial,api|mobile|regression|smoke,User on /surveys/new,1. Skip questions || 2. Save,Error 'At least one question required',Negative,kavya.iyer,VWO-25.S33,Active
TC-01285,VWO-4689,Verify Winner per Section view in MVT report (positive),MVT,P2,Major,chrome|mobile|regression|safari|ui,MVT 2234 report ready,1. Open /campaigns/2234/report?view=section,Each section shows winning variant,Functional,promode.dutta,VWO-25.S25,Active
TC-01286,VWO-5648,Verify recording playback uses < 200MB memory for 10-min session (retry),Session Recordings,P2,Major,api|chrome|dataloss|performance|sanity,10-min recording,1. Open Devtools memory || 2. Play to end,Memory stays below 200MB,Performance,promode.dutta,VWO-25.S07,Active
TC-01287,VWO-5719,Verify Personalization campaign for 'Returning user' audience (low-bandwidth),Personalization,P1,Major,firefox|i18n|regression,User logged in | SmartCode installed,1. Navigate /campaigns/personalize/new || 2. Pick audience 'Returning user' || 3. Add change || 4. Save,Campaign saved | Targets only that audience,Functional,aditya.rao,VWO-25.S04,Active
TC-01288,VWO-5089,Verify A/B test save fails when no variations defined (high-load),AB Testing,P1,Critical,firefox|gdpr|regression,User on /campaigns/ab/new,1. Enter name only || 2. Click Save,Inline error 'Add at least one variation' | Save blocked,Negative,sara.patel,VWO-25.S36,Active
TC-01289,VWO-3494,Verify rotating account key forces snippet reinstall (rtl locale),SmartCode,P1,Trivial,dataloss|gdpr|security,Active key,1. Click Rotate || 2. Confirm,New key issued; old stops within 24h,Security,promode.dutta,VWO-25.S30,Active
